Band,Year,Vans Warped Tour,Lollapalooza Chicago,Firefly Music Festival,Austin City Limits,Outside Lands Music and Arts Festival,Governors Ball Music Festival,Riot Fest Chicago,The Beale Street Music Festival,VooDoo Music and Arts Festival,Coachella Valley Music and Arts Festival,Electric Daisy Carnival Las Vegas,Sasquatch! Music Festival,Bonnaroo Music and Arts Festival,Newport Folk Festival,Hangout Music Festival,Pitchfork Music Festival,Budweiser Made in America Festival,Ultra Music Festival Miami,Festival
68,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans Warped Tour
311,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,The Beale Street Music Festival
††† (Crosses),2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Coachella Valley Music and Arts Festival
12th Planet,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
12th Planet,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
12th Planet,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
12th Planet,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Budweiser Made in America Festival
12th Planet,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ultra Music Festival Miami
2 Chainz,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Budweiser Made in America Festival
219 Boys,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
2manydjs (Live),2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Coachella Valley Music and Arts Festival
2manydjs (Live),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ultra Music Festival Miami
3LAU,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
3LAU,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
3LAU,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hangout Music Festival
3OH!3,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans Warped Tour
3TEETH,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Riot Fest Chicago
4b,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
4b,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
50 Carrot,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Electric Daisy Carnival Las Vegas
7Seconds,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Riot Fest Chicago
A Great Big World,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firefly Music Festival
A Lot Like Birds,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans Warped Tour
A Skylit Drive,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vans Warped Tour
